V,timestamps
-2.73956298828125,0.0001
-2.34649658203125,0.0002
-2.51983642578125,0.00030000000000000003
-2.42401123046875,0.0004
-2.39959716796875,0.0005
-2.54638671875,0.0006000000000000001
-2.215576171875,0.0007
-2.496337890625,0.0008
-2.6611328125,0.0009000000000000001
-2.327880859375,0.001
-2.45849609375,0.0011
-2.45330810546875,0.0012000000000000001
-2.51434326171875,0.0013000000000000002
-2.31292724609375,0.0014
-2.44354248046875,0.0015
-2.4560546875,0.0016
-2.4237060546875,0.0017000000000000001
-2.47039794921875,0.0018000000000000002
-2.33367919921875,0.0019
-2.5555419921875,0.002
-2.28668212890625,0.0021000000000000003
-2.4481201171875,0.0022
-2.62237548828125,0.0023
-2.459716796875,0.0024000000000000002
-2.86346435546875,0.0025
-2.4432373046875,0.0026000000000000003
-2.41241455078125,0.0027
-2.58575439453125,0.0028
-2.3553466796875,0.0029000000000000002
-2.42340087890625,0.003
-2.3687744140625,0.0031000000000000003
-2.578125,0.0032
-2.2747802734375,0.0033
-2.3748779296875,0.0034000000000000002
-2.49908447265625,0.0035
-2.3895263671875,0.0036000000000000003
-2.987060546875,0.0037
-2.45361328125,0.0038
-2.7911376953125,0.0039000000000000003
-2.48321533203125,0.004
-2.257080078125,0.0041
-2.67791748046875,0.004200000000000001
-2.56256103515625,0.0043
-2.755126953125,0.0044
-2.30194091796875,0.0045000000000000005
-2.4560546875,0.0046
-2.5128173828125,0.0047
-2.4322509765625,0.0048000000000000004
-2.48809814453125,0.0049
-2.36968994140625,0.005
-2.532958984375,0.0051
-2.47467041015625,0.005200000000000001
-2.4468994140625,0.0053
-2.20672607421875,0.0054
-2.7728271484375,0.0055000000000000005
-2.5738525390625,0.0056
-2.47528076171875,0.0057
-2.29827880859375,0.0058000000000000005
-2.333984375,0.0059
-2.54669189453125,0.006
-2.39471435546875,0.0061
-2.2808837890625,0.006200000000000001
-2.5848388671875,0.0063
-2.4700927734375,0.0064
-2.2454833984375,0.006500000000000001
-2.374267578125,0.0066
-2.490234375,0.0067
-2.601318359375,0.0068000000000000005
-2.606201171875,0.006900000000000001
-2.373046875,0.007
-2.3541259765625,0.0071
-2.74993896484375,0.007200000000000001
-2.3443603515625,0.0073
-2.308349609375,0.0074
-2.65960693359375,0.007500000000000001
-2.388916015625,0.0076
-2.4774169921875,0.0077
-2.244873046875,0.0078000000000000005
-2.493896484375,0.0079
-2.61627197265625,0.008
-2.66143798828125,0.0081
-2.47802734375,0.0082
-2.13104248046875,0.0083
-2.457275390625,0.008400000000000001
-2.35748291015625,0.0085
-2.420654296875,0.0086
-2.44384765625,0.008700000000000001
-2.574462890625,0.0088
-2.7392578125,0.0089
-2.2210693359375,0.009000000000000001
-2.46795654296875,0.0091
-2.3760986328125,0.0092
-2.59796142578125,0.009300000000000001
-2.3956298828125,0.0094
-2.12921142578125,0.0095
-2.772216796875,0.009600000000000001
-2.515869140625,0.0097
-2.33306884765625,0.0098
-2.76123046875,0.0099
-2.344970703125,0.01
-2.49053955078125,0.010100000000000001
-2.26226806640625,0.0102
-2.337646484375,0.0103
-2.5146484375,0.010400000000000001
-2.67578125,0.0105
-2.29217529296875,0.0106
-2.35748291015625,0.010700000000000001
-2.53326416015625,0.0108
-2.449951171875,0.0109
-2.70751953125,0.011000000000000001
-2.52471923828125,0.0111
-2.669677734375,0.0112
-2.7069091796875,0.011300000000000001
-2.34039306640625,0.0114
-2.36297607421875,0.0115
-2.49053955078125,0.011600000000000001
-2.5372314453125,0.0117
-2.3883056640625,0.0118
-2.421875,0.0119
-2.29248046875,0.012
-2.51861572265625,0.012100000000000001
-2.51434326171875,0.0122
-2.40570068359375,0.0123
-2.6922607421875,0.012400000000000001
-2.423095703125,0.0125
-2.50640869140625,0.0126
-2.4481201171875,0.012700000000000001
-2.7838134765625,0.0128
-2.59613037109375,0.0129
-2.5360107421875,0.013000000000000001
-2.49298095703125,0.0131
-2.308349609375,0.0132
-2.4749755859375,0.013300000000000001
-2.53204345703125,0.0134
-2.46246337890625,0.0135
-2.49969482421875,0.013600000000000001
-2.3272705078125,0.0137
-2.415771484375,0.013800000000000002
-2.59735107421875,0.013900000000000001
-2.71514892578125,0.014
-2.442626953125,0.014100000000000001
-2.2222900390625,0.0142
-2.44537353515625,0.0143
-2.0428466796875,0.014400000000000001
-2.4725341796875,0.0145
-2.5665283203125,0.0146
-2.40966796875,0.014700000000000001
-2.72308349609375,0.0148
-2.0538330078125,0.0149
-2.2332763671875,0.015000000000000001
-2.2552490234375,0.0151
-2.4163818359375,0.0152
-2.62481689453125,0.015300000000000001
-2.16033935546875,0.0154
-2.4609375,0.0155
-2.40081787109375,0.015600000000000001
-2.33734130859375,0.015700000000000002
-2.21954345703125,0.0158
-2.420654296875,0.0159
-2.4322509765625,0.016
-1.94976806640625,0.0161
-2.13470458984375,0.0162
-2.281494140625,0.016300000000000002
-2.39837646484375,0.0164
