V,timestamps
-6.25152587890625,0.0001
-6.35986328125,0.0002
-6.25640869140625,0.00030000000000000003
-6.38885498046875,0.0004
-6.35955810546875,0.0005
-6.34002685546875,0.0006000000000000001
-6.3897705078125,0.0007
-6.36993408203125,0.0008
-6.31378173828125,0.0009000000000000001
-6.298828125,0.001
-6.22222900390625,0.0011
-6.37847900390625,0.0012000000000000001
-6.40533447265625,0.0013000000000000002
-6.36260986328125,0.0014
-6.45294189453125,0.0015
-6.43402099609375,0.0016
-6.3226318359375,0.0017000000000000001
-6.348876953125,0.0018000000000000002
-6.20330810546875,0.0019
-6.17584228515625,0.002
-6.412353515625,0.0021000000000000003
-6.40594482421875,0.0022
-5.86700439453125,0.0023
-6.40899658203125,0.0024000000000000002
-6.21612548828125,0.0025
-6.25396728515625,0.0026000000000000003
-6.2744140625,0.0027
-6.15875244140625,0.0028
-6.27105712890625,0.0029000000000000002
-6.25640869140625,0.003
-6.17584228515625,0.0031000000000000003
-6.414794921875,0.0032
-6.34857177734375,0.0033
-6.2847900390625,0.0034000000000000002
-6.265869140625,0.0035
-6.121826171875,0.0036000000000000003
-6.2506103515625,0.0037
-6.18988037109375,0.0038
-6.25030517578125,0.0039000000000000003
-6.0552978515625,0.004
-6.1944580078125,0.0041
-6.01165771484375,0.004200000000000001
-6.24664306640625,0.0043
-6.1920166015625,0.0044
-6.1865234375,0.0045000000000000005
-6.0980224609375,0.0046
-6.10137939453125,0.0047
-6.219482421875,0.0048000000000000004
-6.197509765625,0.0049
-6.0443115234375,0.005
-5.9698486328125,0.0051
-6.199951171875,0.005200000000000001
-5.9954833984375,0.0053
-6.0772705078125,0.0054
-6.22222900390625,0.0055000000000000005
-6.0693359375,0.0056
-6.119384765625,0.0057
-6.04827880859375,0.0058000000000000005
-6.00982666015625,0.0059
-5.9344482421875,0.006
-6.16668701171875,0.0061
-5.9912109375,0.006200000000000001
-5.9527587890625,0.0063
-5.93505859375,0.0064
-6.0504150390625,0.006500000000000001
-5.9588623046875,0.0066
-6.0064697265625,0.0067
-6.04217529296875,0.0068000000000000005
-5.63201904296875,0.006900000000000001
-5.8233642578125,0.007
-5.985107421875,0.0071
